,state_code,county_code,site_number,parameter_code,poc,latitude,longitude,datum,parameter,sample_duration_code,sample_duration,pollutant_standard,date_local,units_of_measure,event_type,observation_count,observation_percent,validity_indicator,arithmetic_mean,first_max_value,first_max_hour,aqi,method_code,method,local_site_name,site_address,state,county,city,cbsa_code,cbsa,date_of_last_change
39947,42,003,0002,88101,2,40.499767,-80.071337,WGS84,PM2.5 - Local Conditions,X,24-HR BLK AVG,PM25 Annual 1997,2019-11-13,Micrograms/cubic meter (LC),No Events,1,100.0,Y,6.3,6.3,0,26.0,183,Thermo Scientific 5014i or FH62C14-DHS w/VSCC - Beta Attenuation,Avalon,"520 Orchard Ave, Avalon, PA 15202 (Avalon)",Pennsylvania,Allegheny,Avalon,38300,"Pittsburgh, PA",2023-02-05
39954,42,003,0002,88101,2,40.499767,-80.071337,WGS84,PM2.5 - Local Conditions,X,24-HR BLK AVG,PM25 Annual 1997,2019-11-14,Micrograms/cubic meter (LC),No Events,1,100.0,Y,10.1,10.1,0,42.0,183,Thermo Scientific 5014i or FH62C14-DHS w/VSCC - Beta Attenuation,Avalon,"520 Orchard Ave, Avalon, PA 15202 (Avalon)",Pennsylvania,Allegheny,Avalon,38300,"Pittsburgh, PA",2023-02-05
39961,42,003,0002,88101,2,40.499767,-80.071337,WGS84,PM2.5 - Local Conditions,X,24-HR BLK AVG,PM25 Annual 1997,2019-11-15,Micrograms/cubic meter (LC),No Events,1,100.0,Y,17.5,17.5,0,62.0,183,Thermo Scientific 5014i or FH62C14-DHS w/VSCC - Beta Attenuation,Avalon,"520 Orchard Ave, Avalon, PA 15202 (Avalon)",Pennsylvania,Allegheny,Avalon,38300,"Pittsburgh, PA",2023-02-05
39968,42,003,0002,88101,2,40.499767,-80.071337,WGS84,PM2.5 - Local Conditions,X,24-HR BLK AVG,PM25 Annual 1997,2019-11-16,Micrograms/cubic meter (LC),No Events,1,100.0,Y,7.6,7.6,0,32.0,183,Thermo Scientific 5014i or FH62C14-DHS w/VSCC - Beta Attenuation,Avalon,"520 Orchard Ave, Avalon, PA 15202 (Avalon)",Pennsylvania,Allegheny,Avalon,38300,"Pittsburgh, PA",2023-02-05
39982,42,003,0002,88101,2,40.499767,-80.071337,WGS84,PM2.5 - Local Conditions,X,24-HR BLK AVG,PM25 Annual 1997,2019-11-18,Micrograms/cubic meter (LC),No Events,1,100.0,Y,9.2,9.2,0,38.0,183,Thermo Scientific 5014i or FH62C14-DHS w/VSCC - Beta Attenuation,Avalon,"520 Orchard Ave, Avalon, PA 15202 (Avalon)",Pennsylvania,Allegheny,Avalon,38300,"Pittsburgh, PA",2023-02-05
39989,42,003,0002,88101,2,40.499767,-80.071337,WGS84,PM2.5 - Local Conditions,X,24-HR BLK AVG,PM25 Annual 1997,2019-11-19,Micrograms/cubic meter (LC),No Events,1,100.0,Y,30.4,30.4,0,89.0,183,Thermo Scientific 5014i or FH62C14-DHS w/VSCC - Beta Attenuation,Avalon,"520 Orchard Ave, Avalon, PA 15202 (Avalon)",Pennsylvania,Allegheny,Avalon,38300,"Pittsburgh, PA",2023-02-05
39996,42,003,0002,88101,2,40.499767,-80.071337,WGS84,PM2.5 - Local Conditions,X,24-HR BLK AVG,PM25 Annual 1997,2019-11-20,Micrograms/cubic meter (LC),No Events,1,100.0,Y,25.4,25.4,0,79.0,183,Thermo Scientific 5014i or FH62C14-DHS w/VSCC - Beta Attenuation,Avalon,"520 Orchard Ave, Avalon, PA 15202 (Avalon)",Pennsylvania,Allegheny,Avalon,38300,"Pittsburgh, PA",2023-02-05
40003,42,003,0002,88101,2,40.499767,-80.071337,WGS84,PM2.5 - Local Conditions,X,24-HR BLK AVG,PM25 Annual 1997,2019-11-21,Micrograms/cubic meter (LC),No Events,1,100.0,Y,16.2,16.2,0,60.0,183,Thermo Scientific 5014i or FH62C14-DHS w/VSCC - Beta Attenuation,Avalon,"520 Orchard Ave, Avalon, PA 15202 (Avalon)",Pennsylvania,Allegheny,Avalon,38300,"Pittsburgh, PA",2023-02-05
40010,42,003,0002,88101,2,40.499767,-80.071337,WGS84,PM2.5 - Local Conditions,X,24-HR BLK AVG,PM25 Annual 1997,2019-11-22,Micrograms/cubic meter (LC),No Events,1,100.0,Y,5.5,5.5,0,23.0,183,Thermo Scientific 5014i or FH62C14-DHS w/VSCC - Beta Attenuation,Avalon,"520 Orchard Ave, Avalon, PA 15202 (Avalon)",Pennsylvania,Allegheny,Avalon,38300,"Pittsburgh, PA",2023-02-05
40024,42,003,0002,88101,2,40.499767,-80.071337,WGS84,PM2.5 - Local Conditions,X,24-HR BLK AVG,PM25 Annual 1997,2019-11-24,Micrograms/cubic meter (LC),No Events,1,100.0,Y,10.4,10.4,0,43.0,183,Thermo Scientific 5014i or FH62C14-DHS w/VSCC - Beta Attenuation,Avalon,"520 Orchard Ave, Avalon, PA 15202 (Avalon)",Pennsylvania,Allegheny,Avalon,38300,"Pittsburgh, PA",2023-02-05
40031,42,003,0002,88101,2,40.499767,-80.071337,WGS84,PM2.5 - Local Conditions,X,24-HR BLK AVG,PM25 Annual 1997,2019-11-25,Micrograms/cubic meter (LC),No Events,1,100.0,Y,8.7,8.7,0,36.0,183,Thermo Scientific 5014i or FH62C14-DHS w/VSCC - Beta Attenuation,Avalon,"520 Orchard Ave, Avalon, PA 15202 (Avalon)",Pennsylvania,Allegheny,Avalon,38300,"Pittsburgh, PA",2023-02-05
40038,42,003,0002,88101,2,40.499767,-80.071337,WGS84,PM2.5 - Local Conditions,X,24-HR BLK AVG,PM25 Annual 1997,2019-11-26,Micrograms/cubic meter (LC),No Events,1,100.0,Y,11.8,11.8,0,49.0,183,Thermo Scientific 5014i or FH62C14-DHS w/VSCC - Beta Attenuation,Avalon,"520 Orchard Ave, Avalon, PA 15202 (Avalon)",Pennsylvania,Allegheny,Avalon,38300,"Pittsburgh, PA",2023-02-05
40045,42,003,0002,88101,2,40.499767,-80.071337,WGS84,PM2.5 - Local Conditions,X,24-HR BLK AVG,PM25 Annual 1997,2019-11-27,Micrograms/cubic meter (LC),No Events,1,100.0,Y,7.8,7.8,0,33.0,183,Thermo Scientific 5014i or FH62C14-DHS w/VSCC - Beta Attenuation,Avalon,"520 Orchard Ave, Avalon, PA 15202 (Avalon)",Pennsylvania,Allegheny,Avalon,38300,"Pittsburgh, PA",2023-02-05
40052,42,003,0002,88101,2,40.499767,-80.071337,WGS84,PM2.5 - Local Conditions,X,24-HR BLK AVG,PM25 Annual 1997,2019-11-28,Micrograms/cubic meter (LC),No Events,1,100.0,Y,3.8,3.8,0,16.0,183,Thermo Scientific 5014i or FH62C14-DHS w/VSCC - Beta Attenuation,Avalon,"520 Orchard Ave, Avalon, PA 15202 (Avalon)",Pennsylvania,Allegheny,Avalon,38300,"Pittsburgh, PA",2023-02-05
40066,42,003,0002,88101,2,40.499767,-80.071337,WGS84,PM2.5 - Local Conditions,X,24-HR BLK AVG,PM25 Annual 1997,2019-11-30,Micrograms/cubic meter (LC),No Events,1,100.0,Y,9.9,9.9,0,41.0,183,Thermo Scientific 5014i or FH62C14-DHS w/VSCC - Beta Attenuation,Avalon,"520 Orchard Ave, Avalon, PA 15202 (Avalon)",Pennsylvania,Allegheny,Avalon,38300,"Pittsburgh, PA",2023-02-05
40073,42,003,0002,88101,2,40.499767,-80.071337,WGS84,PM2.5 - Local Conditions,X,24-HR BLK AVG,PM25 Annual 1997,2019-12-01,Micrograms/cubic meter (LC),No Events,1,100.0,Y,5.5,5.5,0,23.0,183,Thermo Scientific 5014i or FH62C14-DHS w/VSCC - Beta Attenuation,Avalon,"520 Orchard Ave, Avalon, PA 15202 (Avalon)",Pennsylvania,Allegheny,Avalon,38300,"Pittsburgh, PA",2023-02-05
40080,42,003,0002,88101,2,40.499767,-80.071337,WGS84,PM2.5 - Local Conditions,X,24-HR BLK AVG,PM25 Annual 1997,2019-12-02,Micrograms/cubic meter (LC),No Events,1,100.0,Y,6.8,6.8,0,28.0,183,Thermo Scientific 5014i or FH62C14-DHS w/VSCC - Beta Attenuation,Avalon,"520 Orchard Ave, Avalon, PA 15202 (Avalon)",Pennsylvania,Allegheny,Avalon,38300,"Pittsburgh, PA",2023-02-05
40087,42,003,0002,88101,2,40.499767,-80.071337,WGS84,PM2.5 - Local Conditions,X,24-HR BLK AVG,PM25 Annual 1997,2019-12-03,Micrograms/cubic meter (LC),No Events,1,100.0,Y,4.8,4.8,0,20.0,183,Thermo Scientific 5014i or FH62C14-DHS w/VSCC - Beta Attenuation,Avalon,"520 Orchard Ave, Avalon, PA 15202 (Avalon)",Pennsylvania,Allegheny,Avalon,38300,"Pittsburgh, PA",2023-02-05
40094,42,003,0002,88101,2,40.499767,-80.071337,WGS84,PM2.5 - Local Conditions,X,24-HR BLK AVG,PM25 Annual 1997,2019-12-04,Micrograms/cubic meter (LC),No Events,1,100.0,Y,9.2,9.2,0,38.0,183,Thermo Scientific 5014i or FH62C14-DHS w/VSCC - Beta Attenuation,Avalon,"520 Orchard Ave, Avalon, PA 15202 (Avalon)",Pennsylvania,Allegheny,Avalon,38300,"Pittsburgh, PA",2023-02-05
40108,42,003,0002,88101,2,40.499767,-80.071337,WGS84,PM2.5 - Local Conditions,X,24-HR BLK AVG,PM25 Annual 1997,2019-12-06,Micrograms/cubic meter (LC),No Events,1,100.0,Y,9.0,9.0,0,38.0,183,Thermo Scientific 5014i or FH62C14-DHS w/VSCC - Beta Attenuation,Avalon,"520 Orchard Ave, Avalon, PA 15202 (Avalon)",Pennsylvania,Allegheny,Avalon,38300,"Pittsburgh, PA",2023-02-05
40115,42,003,0002,88101,2,40.499767,-80.071337,WGS84,PM2.5 - Local Conditions,X,24-HR BLK AVG,PM25 Annual 1997,2019-12-07,Micrograms/cubic meter (LC),No Events,1,100.0,Y,8.0,8.0,0,33.0,183,Thermo Scientific 5014i or FH62C14-DHS w/VSCC - Beta Attenuation,Avalon,"520 Orchard Ave, Avalon, PA 15202 (Avalon)",Pennsylvania,Allegheny,Avalon,38300,"Pittsburgh, PA",2023-02-05
